| cellsize = 1x1x1 | nº átomos = 4 | grid-k adaptado = [6 6 6] | nº kpontos = 216 | nelec = 36 | nbands >= 18 |
| cellsize = 1x1x2 | nº átomos = 8 | grid-k adaptado = [6 6 3] | nº kpontos = 108 | nelec = 72 | nbands >= 36 |
| cellsize = 1x1x3 | nº átomos = 12 | grid-k adaptado = [6 6 2] | nº kpontos = 72 | nelec = 108 | nbands >= 54 |
| cellsize = 1x2x1 | nº átomos = 8 | grid-k adaptado = [6 3 6] | nº kpontos = 108 | nelec = 72 | nbands >= 36 |
| cellsize = 1x2x2 | nº átomos = 16 | grid-k adaptado = [6 3 3] | nº kpontos = 54 | nelec = 144 | nbands >= 72 |
| cellsize = 1x2x3 | nº átomos = 24 | grid-k adaptado = [6 3 2] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 1x3x1 | nº átomos = 12 | grid-k adaptado = [6 2 6] | nº kpontos = 72 | nelec = 108 | nbands >= 54 |
| cellsize = 1x3x2 | nº átomos = 24 | grid-k adaptado = [6 2 3] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 1x3x3 | nº átomos = 36 | grid-k adaptado = [6 2 2] | nº kpontos = 24 | nelec = 324 | nbands >= 162 |
| cellsize = 2x1x1 | nº átomos = 8 | grid-k adaptado = [3 6 6] | nº kpontos = 108 | nelec = 72 | nbands >= 36 |
| cellsize = 2x1x2 | nº átomos = 16 | grid-k adaptado = [3 6 3] | nº kpontos = 54 | nelec = 144 | nbands >= 72 |
| cellsize = 2x1x3 | nº átomos = 24 | grid-k adaptado = [3 6 2] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 2x2x1 | nº átomos = 16 | grid-k adaptado = [3 3 6] | nº kpontos = 54 | nelec = 144 | nbands >= 72 |
| cellsize = 2x2x2 | nº átomos = 32 | grid-k adaptado = [3 3 3] | nº kpontos = 27 | nelec = 288 | nbands >= 144 |
| cellsize = 2x2x3 | nº átomos = 48 | grid-k adaptado = [3 3 2] | nº kpontos = 18 | nelec = 432 | nbands >= 216 |
| cellsize = 2x3x1 | nº átomos = 24 | grid-k adaptado = [3 2 6] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 2x3x2 | nº átomos = 48 | grid-k adaptado = [3 2 3] | nº kpontos = 18 | nelec = 432 | nbands >= 216 |
| cellsize = 2x3x3 | nº átomos = 72 | grid-k adaptado = [3 2 2] | nº kpontos = 12 | nelec = 648 | nbands >= 324 |
| cellsize = 3x1x1 | nº átomos = 12 | grid-k adaptado = [2 6 6] | nº kpontos = 72 | nelec = 108 | nbands >= 54 |
| cellsize = 3x1x2 | nº átomos = 24 | grid-k adaptado = [2 6 3] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 3x1x3 | nº átomos = 36 | grid-k adaptado = [2 6 2] | nº kpontos = 24 | nelec = 324 | nbands >= 162 |
| cellsize = 3x2x1 | nº átomos = 24 | grid-k adaptado = [2 3 6] | nº kpontos = 36 | nelec = 216 | nbands >= 108 |
| cellsize = 3x2x2 | nº átomos = 48 | grid-k adaptado = [2 3 3] | nº kpontos = 18 | nelec = 432 | nbands >= 216 |
| cellsize = 3x2x3 | nº átomos = 72 | grid-k adaptado = [2 3 2] | nº kpontos = 12 | nelec = 648 | nbands >= 324 |
| cellsize = 3x3x1 | nº átomos = 36 | grid-k adaptado = [2 2 6] | nº kpontos = 24 | nelec = 324 | nbands >= 162 |
| cellsize = 3x3x2 | nº átomos = 72 | grid-k adaptado = [2 2 3] | nº kpontos = 12 | nelec = 648 | nbands >= 324 |
| cellsize = 3x3x3 | nº átomos = 108 | grid-k adaptado = [2 2 2] | nº kpontos = 8 | nelec = 972 | nbands >= 486 |
